index,set,type,date,link,title,context,comment,hate speech,gender,disability,race/nation,region,age,note,
,1,1,06월 02일,https://gall.dcinside.com/board/view/?id=dcbest&no=236239,싱글벙글 이제부터 여성 안 뽑는 '여혐업체' 박제한다....jpg,여성 고용이 미흡해 정부가 불이익을 준 기업의 이름이 공개되었다.,미래가 밝은 회사이니 투자하라는 뜻에서 샤라웃 해주는 거임,1,1,0,0,0,0,,
,1,1,06월 02일,https://gall.dcinside.com/board/view/?id=dcbest&no=236239,싱글벙글 이제부터 여성 안 뽑는 '여혐업체' 박제한다....jpg,여성 고용이 미흡해 정부가 불이익을 준 기업의 이름이 공개되었다.,쉐보레 차 좋은데엔 이유가 있었노,1,1,0,0,0,0,이기야노체,
,1,1,06월 02일,https://gall.dcinside.com/board/view/?id=dcbest&no=236239,싱글벙글 이제부터 여성 안 뽑는 '여혐업체' 박제한다....jpg,여성 고용이 미흡해 정부가 불이익을 준 기업의 이름이 공개되었다.,풀매수 간다,1,1,0,0,0,0,,
,1,1,06월 02일,https://gall.dcinside.com/board/view/?id=dcbest&no=236239,싱글벙글 이제부터 여성 안 뽑는 '여혐업체' 박제한다....jpg,여성 고용이 미흡해 정부가 불이익을 준 기업의 이름이 공개되었다.,옳게된 기업,1,1,0,0,0,0,,
,1,1,06월 02일,https://gall.dcinside.com/board/view/?id=dcbest&no=236239,싱글벙글 이제부터 여성 안 뽑는 '여혐업체' 박제한다....jpg,여성 고용이 미흡해 정부가 불이익을 준 기업의 이름이 공개되었다.,그니까 저기에 주식투자 하면 된다는거지?,1,1,0,0,0,0,,
,1,1,06월 02일,https://gall.dcinside.com/board/view/?id=dcbest&no=236239,싱글벙글 이제부터 여성 안 뽑는 '여혐업체' 박제한다....jpg,여성 고용이 미흡해 정부가 불이익을 준 기업의 이름이 공개되었다.,참기업 명단 공개 ㅋㅋㅋ,1,1,0,0,0,0,,
,1,1,06월 02일,https://gall.dcinside.com/board/view/?id=dcbest&no=236239,싱글벙글 이제부터 여성 안 뽑는 '여혐업체' 박제한다....jpg,여성 고용이 미흡해 정부가 불이익을 준 기업의 이름이 공개되었다.,일잘하는기업 32개사 명단공개,1,1,0,0,0,0,,
,1,1,06월 02일,https://gall.dcinside.com/board/view/?id=dcbest&no=236239,싱글벙글 이제부터 여성 안 뽑는 '여혐업체' 박제한다....jpg,여성 고용이 미흡해 정부가 불이익을 준 기업의 이름이 공개되었다.,믿을 만한 그룹이라는 얘기네,1,1,0,0,0,0,,
,1,1,06월 02일,https://gall.dcinside.com/board/view/?id=dcbest&no=236239,싱글벙글 이제부터 여성 안 뽑는 '여혐업체' 박제한다....jpg,여성 고용이 미흡해 정부가 불이익을 준 기업의 이름이 공개되었다.,저런 건 명예훈장으로 여겨야지,1,1,0,0,0,0,,
,1,1,06월 02일,https://gall.dcinside.com/board/view/?id=dcbest&no=236239,싱글벙글 이제부터 여성 안 뽑는 '여혐업체' 박제한다....jpg,여성 고용이 미흡해 정부가 불이익을 준 기업의 이름이 공개되었다.,훈장 아님?,1,1,0,0,0,0,,
